"year","A","C","I","pct_AV","adoption","r","s","i","scenario"
16,38455968.2149542,225468992.918143,1,0.170559897027241,0.24,5000,2000,0.15,"Infra Focus"
17,39364050.4399074,224686163.413873,1,0.175195703383829,0.24,5000,2000,0.15,"Infra Focus"
18,40208566.9091139,223958131.974902,1,0.179536088082838,0.24,5000,2000,0.15,"Infra Focus"
19,40993967.2254759,223281062.736659,1,0.183598047783501,0.24,5000,2000,0.15,"Infra Focus"
20,41724389.5196926,222651388.345092,1,0.187397841216346,0.24,5000,2000,0.15,"Infra Focus"
21,42403682.2533141,222065791.160936,1,0.190950988135688,0.24,5000,2000,0.15,"Infra Focus"
22,43035424.4955821,221521185.77967,1,0.19427227397738,0.24,5000,2000,0.15,"Infra Focus"
23,43622944.7808914,221014702.775093,1,0.197375759318974,0.24,5000,2000,0.15,"Infra Focus"
24,44169338.646229,220543673.580837,1,0.200274793328131,0.24,5000,2000,0.15,"Infra Focus"
25,44677484.940993,220105616.430178,1,0.202982030470656,0.24,5000,2000,0.15,"Infra Focus"
26,45150060.9951234,219698223.280066,1,0.20550944983095,0.24,5000,2000,0.15,"Infra Focus"
27,45589556.7254648,219319347.650461,1,0.207868376474121,0.24,5000,2000,0.15,"Infra Focus"
28,45998287.7546823,218966993.314929,1,0.210069504350025,0.24,5000,2000,0.15,"Infra Focus"
29,46378407.6118545,218639303.782884,1,0.212122920304895,0.24,5000,2000,0.15,"Infra Focus"
30,46731919.0790247,218334552.518082,1,0.214038128825965,0.24,5000,2000,0.15,"Infra Focus"
0,1e+07,2.5e+08,0.3,0.04,0,12000,5000,0.2,"Aggressive"
1,13800000,247500000,0.485,0.0557575757575758,0.3,12000,5000,0.2,"Aggressive"
2,17334000,245175000,0.66075,0.0707005200367085,0.3,12000,5000,0.2,"Aggressive"
3,20620620,243012750,0.8277125,0.0848540662989905,0.3,12000,5000,0.2,"Aggressive"
4,23677176.6,241001857.5,0.986326875,0.0982447888394387,0.3,12000,5000,0.2,"Aggressive"
5,26519774.238,239131727.475,1,0.110900274580973,0.3,12000,5000,0.2,"Aggressive"
6,29163390.04134,237392506.55175,1,0.122848823094517,0.3,12000,5000,0.2,"Aggressive"
7,31621952.7384462,235775031.093127,1,0.134119175350489,0.3,12000,5000,0.2,"Aggressive"
8,33908416.046755,234270778.916608,1,0.144740271081034,0.3,12000,5000,0.2,"Aggressive"
9,36034826.9234821,232871824.392446,1,0.154741034118214,0.3,12000,5000,0.2,"Aggressive"
10,38012389.0388384,231570796.684975,1,0.164150184664908,0.3,12000,5000,0.2,"Aggressive"
11,39851521.8061197,230360840.917026,1,0.172996077143484,0.3,12000,5000,0.2,"Aggressive"
12,41561915.2796913,229235582.052835,1,0.181306562041978,0.3,12000,5000,0.2,"Aggressive"
13,43152581.2101129,228189091.309136,1,0.189108870027676,0.3,12000,5000,0.2,"Aggressive"
14,44631900.525405,227215854.917497,1,0.196429516512442,0.3,12000,5000,0.2,"Aggressive"
15,46007667.4886266,226310745.073272,1,0.203294224822294,0.3,12000,5000,0.2,"Aggressive"
16,47287130.7644228,225468992.918143,1,0.209727866135414,0.3,12000,5000,0.2,"Aggressive"
17,48477031.6109132,224686163.413873,1,0.215754414398978,0.3,12000,5000,0.2,"Aggressive"
18,49583639.3981493,223958131.974902,1,0.22139691450769,0.3,12000,5000,0.2,"Aggressive"
